City,AQI,PM2.5/1h,PM10/1h,CO/1h,NO2/1h,O3/1h,O3/8h,SO2/1h
阿坝州,74,7,24,0.4,10,96,127,6
阿克苏地区,158,70,264,0.25,6,135,132,3
阿拉善盟,111,20,72,0.5,11,174,171,11
阿勒泰地区,42,6,14,0.6,7,87,83,2
阿里地区,117,35,181,0.5,6,105,97,4
安康,53,14,30,0.73,18,75,102,6
安庆,57,17,24,0.48,9,98,107,8
鞍山,56,19,60,0.89,26,83,99,9
安顺,94,70,108,0.78,18,129,131,29
安阳,100,19,71,0.74,28,142,158,9
白城,62,20,60,0.4,18,98,113,10
百色,55,27,57,1.3,21,83,97,28
白山,48,21,43,0.65,15,83,95,9
白银,81,25,66,0.55,19,125,135,20
保定,104,55,95,0.53,29,103,163,74
宝鸡,71,19,64,0.56,32,102,123,4
保山,52,16,34,0.45,11,87,101,6
包头,87,35,65,0.72,45,122,143,13
巴彦淖尔,93,23,75,0.23,18,140,150,6
巴中,83,53,114,0.75,46,65,110,4
北海,51,12,47,0.7,8,98,100,6
北京,103,32,87,0.43,32,103,162,3
蚌埠,52,32,52,0.62,56,67,101,17
本溪,59,17,49,0.68,21,88,109,8
毕节,78,33,83,0.8,28,110,132,17
滨州,118,35,104,1.07,31,124,178,14
博州,49,19,29,0.2,7,100,96,7
亳州,77,50,99,0.7,33,82,131,9
沧州,58,23,63,0.33,31,93,108,10
长春,61,32,69,0.7,51,62,95,6
常德,80,34,49,1.02,15,118,134,6
昌都,87,18,33,0.65,14,137,143,5
昌都地区,29,6,12,0.7,11,86,57,8
昌吉州,43,25,30,0.65,10,91,84,5
长沙,58,19,31,0.56,18,109,108,6
常熟,45,31,39,0.53,25,84,79,14
长治,111,35,103,0.86,18,159,171,14
常州,49,32,48,0.86,48,59,62,13
朝阳,63,18,57,0.7,14,107,114,12
潮州,22,15,19,1.1,20,20,35,14
承德,74,21,76,0.5,26,92,127,11
成都,96,39,79,0.61,39,131,153,9
郴州,35,13,32,1.48,16,75,69,5
赤峰,55,19,58,0.65,45,63,87,31
池州,69,49,62,0.9,24,80,102,11
重庆,100,35,78,0.75,39,128,158,11
崇左,58,34,64,0.65,17,87,106,5
楚雄州,67,19,50,0.5,10,113,119,11
滁州,71,25,42,0.53,43,97,123,7
大连,80,15,58,0.59,22,110,134,6
大理州,68,16,52,0.45,11,114,120,4
丹东,53,13,37,0.53,17,96,102,7
大庆,56,27,46,0.42,15,83,105,7
大同,83,25,85,0.8,22,147,138,19
大兴安岭地,0,0,0,0.0,0,0,0,0
大兴安岭地区,48,17,27,0.6,23,65,95,12
达州,60,16,39,0.76,65,74,110,10
德宏州,56,37,59,0.65,22,66,69,9
德阳,107,38,88,0.55,23,136,166,7
德州,123,30,146,0.53,23,129,184,9
定西,81,23,53,0.25,16,110,136,4
迪庆州,56,2,23,0.3,7,98,105,13
东莞,37,14,21,0.7,22,65,73,4
东营,94,13,71,0.38,19,115,151,15
鄂尔多斯,99,27,100,0.64,20,150,157,11
恩施州,44,17,32,0.95,33,58,86,7
鄂州,45,17,31,0.8,28,73,89,4
防城港,49,21,37,0.8,10,100,97,7
佛山,37,16,22,0.64,26,51,73,4
抚顺,57,14,37,0.43,18,91,107,10
阜新,60,25,68,0.34,18,94,107,12
阜阳,80,58,76,0.83,25,90,119,9
富阳,51,32,50,0.9,47,49,58,4
福州,34,13,33,0.58,18,33,48,5
抚州,36,16,32,0.98,7,84,71,5
甘南州,87,23,61,0.5,11,137,143,9
赣州,38,24,36,1.5,16,62,75,13
甘孜藏族自治州,51,19,50,0.4,9,47,41,5
甘孜州,68,10,34,0.35,12,114,120,12
广安,80,25,50,0.53,13,122,134,11
广元,74,17,35,0.57,23,107,127,19
广州,43,14,13,0.61,34,50,84,5
贵港,61,22,69,0.6,15,73,75,5
桂林,45,14,22,0.95,16,77,88,6
贵阳,60,24,63,0.5,32,85,110,7
果洛州,94,13,45,0.6,12,142,151,9
固原,97,41,142,0.47,11,132,141,5
哈尔滨,59,28,65,0.64,39,66,99,7
海北州,85,18,47,0.5,4,133,140,15
海东地区,95,27,70,0.7,25,133,152,9
海口,37,18,36,0.66,21,45,68,4
海门,43,22,40,0.53,14,85,85,8
海南州,57,27,52,0.5,13,98,107,8
海西州,61,15,54,0.7,15,103,111,23
哈密地区,126,43,200,0.1,20,116,120,5
邯郸,111,42,105,0.63,26,172,171,14
杭州,52,34,52,0.98,45,40,61,6
汉中,76,14,51,0.5,20,113,129,6
鹤壁,99,24,81,0.67,53,122,157,10
河池,43,12,17,0.83,7,70,85,6
合肥,49,15,36,0.61,31,90,97,3
鹤岗,56,18,60,0.93,18,74,97,7
黑河,55,15,29,0.6,18,86,104,7
衡水,110,43,114,0.6,22,120,169,8
衡阳,51,30,50,1.03,23,69,71,11
和田地区,500,173,1152,0.35,16,104,107,9
河源,46,15,0,0.85,16,77,91,4
菏泽,128,37,95,0.9,34,154,189,14
贺州,41,23,40,0.65,16,59,72,10
红河州,66,25,71,0.43,9,98,118,5
淮安,85,47,66,0.7,28,128,140,8
淮北,97,72,99,1.13,49,80,134,14
怀化,67,36,81,1.18,11,81,100,18
淮南,58,32,53,0.63,31,82,108,16
黄冈,53,7,37,0.85,14,95,102,3
黄南州,76,24,58,0.2,8,118,129,7
黄山,28,9,24,0.63,10,55,54,7
黄石,37,19,30,0.7,20,71,73,7
呼和浩特,85,17,80,0.78,38,120,140,13
惠州,28,15,27,0.52,19,54,51,4
葫芦岛,70,23,87,0.8,25,91,111,54
呼伦贝尔,63,23,41,0.45,15,100,114,3
湖州,71,51,69,1.03,40,67,68,12
佳木斯,45,9,31,0.44,34,60,88,5
吉安,37,23,30,1.13,10,75,73,9
江门,36,13,35,0.65,20,36,55,5
江阴,50,32,49,0.65,41,78,74,8
胶南,84,27,83,0.6,70,96,139,3
胶州,145,62,131,1.9,29,246,208,27
焦作,83,32,84,0.75,28,121,138,5
嘉兴,46,27,45,1.1,26,67,73,5
